id,name,city,rating,rating_count,cuisine,cost,link
211,Tandoor Hut,Bangalore,4.3,100,Biryani,300,https://www.swiggy.com/restaurants/tandoor-hut-5th-block-koramangala-bangalore-211
218,Anand Sweets and Savouries,Bangalore,4.4,1000,Sweets,300,https://www.swiggy.com/restaurants/anand-sweets-and-savouries-5th-block-koramangala-bangalore-218
219,Anjappar,Bangalore,3.9,500,Chettinad,600,https://www.swiggy.com/restaurants/anjappar-4th-b-block-koramangala-bangalore-219
221,Tunday Kababi,Bangalore,4,100,Mughlai,300,https://www.swiggy.com/restaurants/tunday-kababi-5th-block-koramangala-bangalore-221
223,Truffles,Bangalore,4.4,5000,American,450,https://www.swiggy.com/restaurants/truffles-5th-block-koramangala-bangalore-223
226,Delhi Food Point,Bangalore,3.8,100,North Indian,250,https://www.swiggy.com/restaurants/delhi-food-point-1st-block-koramangala-bangalore-226
227,Via Milano,Bangalore,3.9,50,Italian,800,https://www.swiggy.com/restaurants/via-milano-4th-block-koramangala-bangalore-227
229,Meghana Foods,Bangalore,4.3,5000,Biryani,500,https://www.swiggy.com/restaurants/meghana-foods-5th-block-koramangala-bangalore-229
232,The Hole in the Wall Cafe,Bangalore,4.3,500,American,257,https://www.swiggy.com/restaurants/the-hole-in-the-wall-cafe-4th-block-koramangala-bangalore-232
234,Uday Sweets,Bangalore,4.1,100,Rajasthani,100,https://www.swiggy.com/restaurants/uday-sweets-5th-block-koramangala-bangalore-234
237,Anupam's Coast II Coast,Bangalore,4.2,100,North Indian,1000,https://www.swiggy.com/restaurants/anupams-coast-ii-coast-6th-block-koramangala-bangalore-237
241,Anjappar,Bangalore,3.9,500,Chettinad,600,https://www.swiggy.com/restaurants/anjappar-100-feet-road-indiranagar-bangalore-241
246,Kim Lee,Bangalore,4.2,50,Chinese,650,https://www.swiggy.com/restaurants/kim-lee-double-road-jogupalya-bangalore-246
248,New Punjabi Hotel,Bangalore,3.8,100,North Indian,250,https://www.swiggy.com/restaurants/new-punjabi-hotel-80-feet-road-indiranagar-bangalore-248
249,NH8,Bangalore,3.9,100,Rajasthani,350,https://www.swiggy.com/restaurants/nh8-80-feet-road-indiranagar-bangalore-249
252,Tadka Singh,Bangalore,4,100,Punjabi,300,https://www.swiggy.com/restaurants/tadka-singh-cmh-road-indiranagar-bangalore-252
254,Treat,Bangalore,4.3,100,Mughlai,800,https://www.swiggy.com/restaurants/treat-indiranagar-bangalore-254
256,Yogisthaan,Bangalore,4.2,100,Healthy Food,600,https://www.swiggy.com/restaurants/yogisthaan-double-road-indiranagar-bangalore-256
258,Chinita Real Mexican Food,Bangalore,4.4,100,Mexican,1000,https://www.swiggy.com/restaurants/chinita-real-mexican-food-double-road-indiranagar-bangalore-258
